id met_invertebrate met_primary_producer met_detritus met_ectotherm_vertebrate met_other met_heterotrophic_bacteria met_endotherm_vertebrate mov_walking mov_swimming mov_sessile mov_other_nonliving mov_flying log_mass mass_missing
127 1 0 0 0 0 0 0 1 0 0 0 0 2.3010299956639813 0
128 1 0 0 0 0 0 0 1 0 0 0 0 2.255272505103306 0
129 0 0 0 1 0 0 0 0 1 0 0 0 3.844227337971815 0
130 0 0 0 1 0 0 0 0 1 0 0 0 2.4769552379575344 0
131 0 0 0 1 0 0 0 0 1 0 0 0 2.5035250796550734 0
132 0 0 0 1 0 0 0 0 1 0 0 0 1.6125083832406608 0
133 0 0 0 1 0 0 0 0 1 0 0 0 1.8578147779710066 0
134 0 0 0 1 0 0 0 0 1 0 0 0 3.1910847559679016 0
135 0 0 0 1 0 0 0 0 1 0 0 0 2.6870713988077086 0
136 0 0 0 1 0 0 0 0 1 0 0 0 4.145720848880712 0
137 0 0 0 1 0 0 0 0 1 0 0 0 1.7104955514884244 0
138 0 0 0 1 0 0 0 0 1 0 0 0 2.299768711919799 0
139 1 0 0 0 0 0 0 1 0 0 0 0 1.2479732663618066 0
140 0 0 0 1 0 0 0 0 1 0 0 0 2.4159077455568165 0
141 0 0 0 1 0 0 0 0 1 0 0 0 2.6207568920741546 0
142 0 0 0 1 0 0 0 0 1 0 0 0 2.3354130811922085 0
143 0 0 0 1 0 0 0 0 1 0 0 0 2.2289529542182227 0
144 0 0 0 1 0 0 0 0 1 0 0 0 0.23469738903275475 0
145 0 0 0 1 0 0 0 0 1 0 0 0 4.186075260130256 0
146 0 0 0 1 0 0 0 0 1 0 0 0 2.2289529542182227 0
147 0 0 0 1 0 0 0 0 1 0 0 0 2.047559593309587 0
148 0 0 0 1 0 0 0 0 1 0 0 0 4.0 0
149 0 0 0 0 0 0 1 0 1 0 0 0 5.301029995663981 0
150 0 0 0 1 0 0 0 0 1 0 0 0 4.903089986991944 0
