id met_invertebrate met_primary_producer met_detritus met_heterotrophic_bacteria met_ectotherm_vertebrate met_endotherm_vertebrate mov_swimming mov_other mov_other_nonliving mov_sessile mov_walking log_mass mass_missing
163 1 0 0 0 0 0 0 0 0 1 0 -1.2949577781537749 0
164 1 0 0 0 0 0 0 1 0 0 1 -2.392995589939716 0
165 1 0 0 0 0 0 0 1 0 0 1 -1.9271254031890113 0
166 1 0 0 0 0 0 0 1 0 0 1 -1.9900394685294025 0
167 1 0 0 0 0 0 0 0 0 1 0 1.2709349128748582 0
168 1 0 0 0 0 0 0 0 0 1 0 1.406284637924727 0
169 1 0 0 0 0 0 0 0 0 1 0 1.2709349128748582 0
170 1 0 0 0 0 0 0 0 0 1 0 1.4372113226245817 0
171 1 0 0 0 0 0 0 0 0 1 0 -0.19691178157891281 0
172 1 0 0 0 0 0 0 1 0 1 0 0.04237859813987616 0
173 1 0 0 0 0 0 0 0 0 1 0 -1.927125403189011 0
174 1 0 0 0 0 0 0 0 0 1 0 -0.030630688266472438 0
175 1 0 0 0 0 0 0 0 0 1 0 0.2870399275172423 0
176 1 0 0 0 0 0 0 0 0 1 0 0.17289469775217622 0
177 1 0 0 0 0 0 0 0 0 1 0 -0.8290638913909207 0
178 1 0 0 0 0 0 1 0 0 0 0 -3.6778220686150243 0
179 1 0 0 0 0 0 1 0 0 0 0 -4.230622673923862 0
180 1 0 0 0 0 0 1 0 0 0 0 -4.309803919971486 0
181 1 0 0 0 0 0 1 0 0 0 0 -4.089909454405932 0
182 0 1 0 0 0 0 0 0 0 1 0 -0.29662263148765045 0
183 1 0 0 0 0 0 0 0 0 1 0 -0.19691178157891281 0
184 1 0 0 0 0 0 1 0 0 0 0 -3.860845341593096 0
185 1 0 0 0 0 0 1 0 0 0 0 -3.720241827197527 0
186 0 0 0 0 1 0 1 0 0 0 0 4.205420915676343 0
187 0 0 0 0 1 0 1 0 0 0 0 2.811621917864178 0
188 1 0 0 0 0 0 0 0 0 1 0 -1.620241384157299 0
189 1 0 0 0 0 0 0 0 0 1 0 -2.392995589939716 0
190 1 0 0 0 0 0 0 0 0 1 0 -2.1007268126823964 0
191 1 0 0 0 0 0 0 0 0 1 0 -2.0031644789472245 0
192 1 0 0 0 0 0 0 0 0 1 0 -2.0934010132368845 0
193 1 0 0 0 0 0 0 0 0 1 0 -2.947498436586219 0
194 0 0 0 0 1 0 1 0 0 0 0 1.673481697073347 0
