,food.web,eco.type,node,genus,taxonomy.level,mov.type,met.type,new.mass,species.other,genus.other,met.mov.same,met.same,mov.same,met.other,mov.other
135,Chilean Intertidal El Quisco,marine,rama novazelandensis,rama,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
136,Chilean Intertidal El Quisco,marine,rhizoclonium cilindricum,rhizoclonium,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
137,Chilean Intertidal El Quisco,marine,Rhodymenia skottsbergii,Rhodymenia,genus,sessile,primary producer,0.00022799999999999996,0,1,0,0,0,0,0
138,Chilean Intertidal El Quisco,marine,Sarcothalia crispata,Sarcothalia,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
139,Chilean Intertidal El Quisco,marine,schottera nicaensis,schottera,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
140,Chilean Intertidal El Quisco,marine,schyzimenia doryophora,schyzimenia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
141,Chilean Intertidal El Quisco,marine,scythosiphon lomentaria,scythosiphon,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
142,Chilean Intertidal El Quisco,marine,Trematocarpus dichotomus,Trematocarpus,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
143,Chilean Intertidal El Quisco,marine,ulva rigida,ulva,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
144,Chilean Intertidal El Quisco,marine,ulvella spp.,ulvella,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
145,Chilean Intertidal El Quisco,marine,trimusculus peruvianus,trimusculus,species,walking,invertebrate,11.21801142857143,0,0,1,0,0,0,0
146,Chilean Intertidal Las Cruces,marine,Sarcothalia crispata,Sarcothalia,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
147,Chilean Intertidal Las Cruces,marine,adenocystis utricularis,adenocystis,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
148,Chilean Intertidal Las Cruces,marine,ahnfeltiopsis spp.,ahnfeltiopsis,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
149,Chilean Intertidal Las Cruces,marine,bryopsis_spp,bryopsis_spp,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
150,Chilean Intertidal Las Cruces,marine,centroceras spp.,centroceras,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
151,Chilean Intertidal Las Cruces,marine,ceramium spp.,ceramium,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
152,Chilean Intertidal Las Cruces,marine,chaetomorpha_spp,chaetomorpha_spp,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
153,Chilean Intertidal Las Cruces,marine,chondrus  canaliculatus,chondrus,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
154,Chilean Intertidal Las Cruces,marine,cladophora spp.,cladophora,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
155,Chilean Intertidal Las Cruces,marine,codium dimorpha,codium,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
156,Chilean Intertidal Las Cruces,marine,colpomenia phaeodactyla,colpomenia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
157,Chilean Intertidal Las Cruces,marine,colpomenia sinuosa,colpomenia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
158,Chilean Intertidal Las Cruces,marine,corallina offcinalis var. chilensis,corallina,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
159,Chilean Intertidal Las Cruces,marine,durvillaea antarctica,durvillaea,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
160,Chilean Intertidal Las Cruces,marine,ectocarpus silicosus,ectocarpus,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
161,Chilean Intertidal Las Cruces,marine,enteromorpha compressa,enteromorpha,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
162,Chilean Intertidal Las Cruces,marine,gelidium rex,gelidium,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
163,Chilean Intertidal Las Cruces,marine,Gelidium chilensis,Gelidium,genus,sessile,primary producer,0.00021171432392857138,0,1,0,0,0,0,0
164,Chilean Intertidal Las Cruces,marine,glossophora kunthii,glossophora,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
165,Chilean Intertidal Las Cruces,marine,grateloupia ,grateloupia,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
166,Chilean Intertidal Las Cruces,marine,gymnogongrus furcellatus,gymnogongrus,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
167,Chilean Intertidal Las Cruces,marine,halopteris funicularis,halopteris,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
168,Chilean Intertidal Las Cruces,marine,hildenbrandia lecanelieri,hildenbrandia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
169,Chilean Intertidal Las Cruces,marine,laurencia chilensis,laurencia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
170,Chilean Intertidal Las Cruces,marine,lessonia nigrescens,lessonia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
171,Chilean Intertidal Las Cruces,marine,mazzaella laminarioides,mazzaella,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
172,Chilean Intertidal Las Cruces,marine,montemaria horridula,montemaria,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
173,Chilean Intertidal Las Cruces,marine,lithothamnion spp.,lithothamnion,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
174,Chilean Intertidal Las Cruces,marine,Nothogenia fastigiata,Nothogenia,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
175,Chilean Intertidal Las Cruces,marine,petalonia fascia,petalonia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
176,Chilean Intertidal Las Cruces,marine,petroglossum spp.,petroglossum,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
177,Chilean Intertidal Las Cruces,marine,peysonella spp.,peysonella,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
178,Chilean Intertidal Las Cruces,marine,plocamium cartilageneum,plocamium,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
179,Chilean Intertidal Las Cruces,marine,polysiphonia_spp,polysiphonia_spp,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
