,fw_id,ecosystem.type,log_num_nodes,avg_degree,connectance,clustering_coefficient,modularity,reciprocated_edge,assort_met,assort_mov,assort_mass,deg_assort_io,deg_assort_oi,deg_assort_oo,deg_assort_ii,miss_mass_frac,high_tax_frac,unclassified_tax_frac,parasitic_removal,cannibalistic_removal,num_attr,min_log_mass,max_log_mass,mean_log_mass,median_log_mass,mass_skewness
CR2P1,179,marine,1.6812412373755872,7.5,0.1595744680851064,0.36,0.136,0.011,-0.059,-0.08,0.029,-0.1224,-0.2747,0.046,0.238,0.0,0.312,0.125,0.0,0.036,8,-4.0,1.5431985856376467,-2.280186640270941,-2.6290304611354003,0.5485282328201689
CR2P2,180,marine,1.7403626894942439,6.6182,0.12255892255892256,0.318,0.143,0.011,-0.096,-0.038,0.039,-0.2178,-0.2966,0.2197,0.2958,0.0,0.273,0.091,0.0,0.036,8,-4.0,1.783903579272735,-1.7254220013314718,-2.0,0.7032861464803071
CR2P3,181,marine,1.591064607026499,5.7436,0.15114709851551958,0.314,0.146,0.018,-0.084,-0.062,0.007,-0.049,-0.4747,-0.1012,0.4578,0.0,0.231,0.128,0.0,0.04,8,-4.0,0.8954225460394079,-2.0443588901244594,-2.2006594505464183,0.9114948397977333
CR2P4,182,marine,1.5314789170422551,4.0882,0.12388591800356506,0.352,0.227,0.014,-0.122,-0.019,0.071,-0.1696,-0.4633,0.0376,0.3036,0.0,0.294,0.176,0.0,0.086,8,-4.0,2.0457140589408676,-1.7082169776940517,-2.054231271163718,0.6344148956433107
F1P1,183,marine,1.7323937598229686,4.4074,0.08315863032844165,0.104,0.24,0.0,0.003,-0.101,0.032,-0.1372,0.1016,0.2371,-0.1061,0.0,0.278,0.093,0.0,0.025,8,-4.0,1.9493900066449128,-2.247911510721559,-2.7044676964867502,0.738386024691543
F1P2,184,marine,1.6812412373755872,5.2708,0.11214539007092199,0.065,0.183,0.0,0.007,-0.078,-0.004,-0.0442,0.1211,-0.0084,-0.0841,0.0,0.333,0.083,0.0,0.016,8,-4.0,1.2035767749779727,-2.4424568651739222,-2.7764209843288903,0.6850543891993913
F1P3,185,marine,1.6720978579357175,4.5319,0.09851988899167438,0.011,0.215,0.0,-0.006,-0.092,0.019,-0.0988,0.4811,0.0887,-0.4268,0.0,0.213,0.128,0.0,0.023,8,-4.0,2.6765107102825536,-2.2945336074280083,-2.6989700043360187,0.5431164064418792
F1P4,186,marine,1.6901960800285136,5.9388,0.12372448979591837,0.04,0.176,0.0,0.01,-0.068,-0.003,0.0045,0.4312,-0.0875,-0.202,0.0,0.408,0.082,0.0,0.014,8,-4.0,1.2250506961380487,-2.5103725918024486,-2.6989700043360187,0.6634635054653178
F2P1,187,marine,1.7634279935629373,6.1379,0.10768300060496068,0.015,0.133,0.006,-0.015,-0.075,0.006,-0.0543,0.7472,-0.066,-0.5371,0.0,0.345,0.121,0.0,0.017,8,-4.0,1.7450747915820575,-2.4877453796694335,-3.1883753548010496,0.6980857048328746
F2P2,188,marine,1.6532125137753437,3.8667,0.08787878787878788,0.009,0.203,0.023,-0.006,-0.081,0.019,0.0433,0.4818,-0.0712,-0.4693,0.0,0.289,0.133,0.0,0.029,8,-4.0,2.4143046881283317,-2.3481203396601464,-3.3010299956639813,0.7541819104069228
F2P3,189,marine,1.7242758696007892,4.8868,0.09397677793904209,0.056,0.231,0.015,-0.002,-0.039,0.049,0.0584,0.3337,0.035,-0.3762,0.0,0.34,0.113,0.0,0.027,8,-4.0,2.3086284325990527,-2.2820488420501723,-2.9208187539523753,0.6327547348896486
F2P4,190,marine,1.7160033436347992,4.8269,0.09464555052790347,0.151,0.242,0.0,-0.003,-0.085,0.013,-0.1379,0.1622,0.2023,-0.0692,0.0,0.25,0.096,0.0,0.024,8,-4.0,0.6493348587121419,-2.450347685023962,-2.679759281514789,0.9331228813857877
FP1,191,marine,1.3424226808222062,2.5909,0.12337662337662338,0.179,0.321,0.035,-0.051,-0.114,-0.008,0.0196,-0.2818,-0.1181,0.2244,0.0,0.227,0.136,0.0,0.053,8,-4.0,0.8388490907372553,-1.9616170160841597,-2.0,0.9095055993288489
FXAP1,192,marine,1.662757831681574,8.087,0.17971014492753623,0.214,0.086,0.016,0.003,-0.031,0.018,0.0003,-0.0451,0.0362,0.112,0.0,0.261,0.065,0.0,0.022,8,-4.0,0.7558748556724914,-2.468657651754648,-3.0,0.9540447731573268
FXAP2,193,marine,1.6532125137753437,7.5111,0.1707070707070707,0.27,0.096,0.018,0.004,-0.043,0.023,-0.0827,0.1338,0.0911,-0.0949,0.0,0.2,0.089,0.0,0.03,8,-4.0,1.0809870469108873,-2.310434159439084,-2.8239087409443187,0.772977994351449
FXAP3,194,marine,1.5563025007672873,6.9444,0.1984126984126984,0.297,0.094,0.048,0.0,-0.063,0.038,0.0216,-0.0168,0.0312,0.1691,0.0,0.25,0.111,0.0,0.04,7,-4.0,0.43296929087440583,-2.4782769388198806,-3.0,1.1321617650390832
FXAP4,195,marine,1.4313637641589874,4.8889,0.18803418803418803,0.458,0.14,0.091,0.0,-0.103,-0.037,0.0768,-0.2403,-0.0748,0.2991,0.0,0.259,0.148,0.0,0.053,7,-4.0,-0.005682847330363273,-2.5821735867441653,-2.7695510786217263,1.1378248512895122
FXBP1,196,marine,1.4913616938342726,5.7742,0.1924731182795699,0.339,0.092,0.022,0.005,-0.059,0.003,-0.053,-0.2107,0.025,0.2332,0.0,0.226,0.065,0.0,0.039,8,-4.0,0.6074550232146685,-2.8071444834440644,-3.642065152999546,0.8477784591886048
FXBP2,197,marine,1.6532125137753437,7.0444,0.1601010101010101,0.264,0.114,0.032,-0.007,-0.046,0.007,0.0868,-0.1221,-0.0821,0.243,0.0,0.333,0.067,0.0,0.028,8,-4.0,0.6384892569546373,-2.375991244678214,-2.6989700043360187,1.1562889241578067
FXBP3,198,marine,1.6812412373755872,7.6458,0.162677304964539,0.212,0.095,0.033,0.001,-0.026,0.023,0.0498,0.1831,-0.0219,-0.175,0.0,0.208,0.083,0.0,0.03,8,-4.0,1.1332194567324942,-2.3885343480149346,-2.9793036574208873,0.8892650561816492
FXBP4,199,marine,1.6901960800285136,8.449,0.1760204081632653,0.225,0.102,0.039,-0.003,-0.019,0.019,0.0581,0.1576,-0.0224,-0.0527,0.0,0.224,0.041,0.0,0.024,8,-4.0,1.629817196018516,-2.1763970982784717,-2.42021640338319,0.7234977611231462
GJAP1,200,marine,1.4913616938342726,6.7742,0.22580645161290322,0.441,0.056,0.029,-0.012,-0.03,-0.01,-0.1053,-0.1007,0.0087,0.0799,0.0,0.258,0.129,0.0,0.038,8,-4.0,1.8935953338198832,-2.690048417174723,-3.2218487496163566,0.5842564066376195
GJAP2,201,marine,1.4771212547196624,4.6333,0.15977011494252874,0.312,0.237,0.029,0.016,-0.071,0.029,-0.1551,-0.2639,0.1502,0.1413,0.0,0.367,0.133,0.0,0.058,8,-4.0,0.8918161195248604,-2.402701544278932,-3.0969100130080562,1.14094355806616
GJAP3,202,marine,1.3617278360175928,3.6522,0.16600790513833993,0.092,0.146,0.0,0.0,-0.046,0.025,-0.2025,0.3881,0.0947,-0.4095,0.0,0.174,0.174,0.0,0.036,7,-4.0,0.9965116721541787,-2.5031402290562026,-3.0457574905606752,0.8691770045673195
GJAP4,203,marine,1.3979400086720377,3.2,0.13333333333333333,0.103,0.195,0.0,0.023,-0.046,-0.003,-0.2031,-0.1434,0.1154,-0.1999,0.0,0.16,0.16,0.0,0.075,8,-4.0,0.3780343224573315,-2.7174463813883545,-3.5228787452803374,1.190358046061011
GJBP1,204,marine,1.6020599913279625,9.175,0.23525641025641025,0.415,0.062,0.044,-0.045,-0.017,0.006,-0.169,-0.0075,0.1892,0.0725,0.0,0.325,0.1,0.0,0.033,8,-4.0,2.0690017170456,-2.4704947177051007,-2.7447274948966935,0.505626809807748
GJBP2,205,marine,1.5185139398778875,7.1818,0.22443181818181818,0.32,0.057,0.025,-0.017,-0.008,0.009,-0.053,0.0206,-0.026,-0.0248,0.0,0.303,0.091,0.0,0.03,8,-4.0,2.005437923050822,-2.7330141276256703,-3.642065152999546,0.5575375029277712
GJBP3,206,marine,1.4313637641589874,6.2593,0.24074074074074073,0.404,0.082,0.036,0.008,-0.032,0.024,0.0017,-0.2504,-0.0468,0.2246,0.0,0.333,0.111,0.0,0.047,8,-4.0,0.38560627359831223,-2.8506607259329737,-3.0457574905606752,0.6397075248690777
GJBP4,207,marine,1.3617278360175928,3.8261,0.17391304347826086,0.189,0.131,0.0,0.0,-0.035,0.043,-0.0833,0.0828,0.0861,0.1492,0.0,0.348,0.217,0.0,0.068,7,-4.0,-0.6020599913279624,-3.2122642520082003,-3.6420651529995465,0.7033608121988444
L1P1,208,marine,1.7781512503836436,7.5667,0.12824858757062146,0.318,0.138,0.018,-0.09,-0.1,0.0,-0.1271,-0.2294,0.1018,0.3084,0.0,0.25,0.117,0.0,0.024,8,-4.0,1.9590413923210936,-1.7719991680457965,-2.0,0.5780946295544407
L1P2,209,marine,1.6232492903979006,6.7381,0.16434378629500582,0.36,0.13,0.007,-0.073,-0.114,0.027,-0.3421,-0.5462,0.4089,0.5104,0.0,0.357,0.119,0.0,0.039,8,-4.0,0.3802112417116061,-2.1841337171339226,-2.0,0.7801535730546261
L1P3,210,marine,1.6812412373755872,7.875,0.1675531914893617,0.369,0.108,0.026,-0.084,-0.035,0.037,-0.1234,-0.356,0.0277,0.283,0.0,0.312,0.062,0.0,0.034,8,-4.0,1.6856521841155243,-1.9517846024761774,-2.0,0.6071025575498804
L1P4,211,marine,1.6434526764861874,7.0227,0.16331923890063424,0.212,0.083,0.0,-0.049,-0.025,0.021,-0.117,-0.2609,0.0076,0.3205,0.0,0.364,0.068,0.0,0.023,8,-4.0,1.4632956099620027,-2.588881075508763,-2.758563208195623,0.49079621246214844
L2P1,212,marine,1.6720978579357175,6.5745,0.1429232192414431,0.306,0.131,0.006,-0.068,-0.109,0.015,-0.1871,-0.4266,0.1683,0.4336,0.0,0.383,0.085,0.0,0.036,8,-4.0,1.5149460053080044,-1.9472064249423346,-2.0,0.6171856169280202
L2P2,213,marine,1.7634279935629373,7.6379,0.13399879007864487,0.211,0.144,0.005,-0.034,-0.085,0.038,-0.1493,-0.1253,0.162,0.2617,0.0,0.276,0.069,0.0,0.018,8,-4.0,1.3153404766272883,-2.164359916634724,-2.065384140134512,0.6498861661857754
L2P3,214,marine,1.4313637641589874,3.8148,0.1467236467236467,0.348,0.169,0.019,-0.122,-0.204,0.031,-0.2074,-0.4615,0.1989,0.4045,0.0,0.185,0.111,0.0,0.049,8,-4.0,0.9885589568786155,-2.079580101002624,-2.221848749616356,0.9472855276871909
L2P4,215,marine,1.591064607026499,6.4615,0.1700404858299595,0.376,0.109,0.008,-0.082,-0.142,0.035,-0.2666,-0.4025,0.2416,0.3613,0.0,0.308,0.051,0.0,0.032,8,-4.0,1.335858911319818,-2.0276071579103134,-2.065501548756432,0.642340004699164
L3P1,216,marine,1.5185139398778875,6.3333,0.19791666666666666,0.193,0.091,0.01,-0.023,-0.094,0.019,-0.1189,0.1584,0.0741,-0.0393,0.0,0.121,0.061,0.0,0.024,8,-4.0,1.6492374723496073,-1.8287182056454372,-2.0,0.7798367479494769
L3P2,217,marine,1.3617278360175928,4.3478,0.1976284584980237,0.344,0.104,0.04,0.011,-0.096,-0.01,-0.2054,0.2673,0.2049,-0.1585,0.0,0.217,0.087,0.0,0.05,8,-4.0,1.407900540142635,-1.941269120811492,-3.0,0.8484273790622034
L3P3,218,marine,1.7323937598229686,8.3704,0.15793151642208245,0.361,0.114,0.004,-0.067,-0.068,0.022,-0.2514,-0.2753,0.2698,0.273,0.0,0.278,0.111,0.0,0.027,8,-4.0,1.4393326938302626,-1.9132013073354566,-2.0,0.7379474600941048
L3P4,219,marine,1.6989700043360187,5.14,0.10489795918367346,0.199,0.205,0.0,-0.04,-0.149,0.051,-0.1288,0.086,0.1364,0.0904,0.0,0.36,0.14,0.0,0.031,8,-4.0,1.255272505103306,-2.027393510799947,-2.0,0.9787836899551937
L4P1,220,marine,1.7558748556724915,8.3684,0.14943609022556392,0.312,0.133,0.008,-0.045,-0.109,0.017,-0.1766,-0.3022,0.1362,0.3481,0.0,0.298,0.123,0.0,0.027,8,-4.0,0.5910646070264993,-1.9941697230932012,-2.0,1.1669190477389046
L4P2,221,marine,1.7481880270062005,8.0357,0.1461038961038961,0.237,0.108,0.004,-0.048,-0.096,0.021,-0.189,-0.3553,0.1926,0.4164,0.0,0.339,0.107,0.0,0.022,8,-4.0,1.0496056125949733,-2.115198473011169,-2.051186454354779,0.8695666295017799
L4P3,222,marine,1.6127838567197355,5.5854,0.13963414634146343,0.191,0.14,0.0,-0.045,-0.133,0.063,-0.2112,-0.2775,0.1095,0.4425,0.0,0.39,0.171,0.0,0.039,8,-4.0,0.5211380837040362,-2.162656697522973,-2.431798275933005,1.452335588146125
L4P4,223,marine,1.6334684555795866,6.5581,0.15614617940199335,0.383,0.137,0.007,-0.059,-0.135,-0.018,-0.2446,-0.4192,0.2342,0.2848,0.0,0.302,0.14,0.0,0.035,8,-4.0,1.2607866686549762,-1.7048390665964255,-2.0,0.8422772810579158
MBP1,224,marine,1.5314789170422551,6.0294,0.18270944741532977,0.372,0.122,0.02,0.0,0.035,0.053,-0.1628,-0.5499,0.1189,0.5145,0.0,0.235,0.147,0.0,0.049,7,-4.0,-1.1023729087095586,-2.6969296384315453,-2.5774509799928715,1.0154057525534814
MBP2,225,marine,1.2787536009528289,4.3684,0.24269005847953215,0.476,0.106,0.072,0.0,-0.022,0.052,-0.0392,-0.444,0.0127,0.4156,0.0,0.316,0.211,0.0,0.108,7,-4.0,-0.3133637307377066,-2.9420117456726005,-3.0,0.7470259853712381
MBP3,226,marine,1.568201724066995,9.2432,0.25675675675675674,0.377,0.041,0.006,0.0,0.015,0.022,-0.1625,-0.4037,0.145,0.4427,0.0,0.27,0.135,0.0,0.032,7,-4.0,-0.8088285442714415,-3.016670307340899,-3.642065152999546,0.8248861471293504
MBP4,227,marine,1.4313637641589874,5.6667,0.21794871794871795,0.333,0.125,0.013,-0.056,0.016,0.031,-0.1351,-0.5575,0.0274,0.5469,0.0,0.259,0.148,0.0,0.059,8,-4.0,-1.1784864715952268,-2.8619655008063694,-3.0,1.2608189057849806
PC1P1,228,marine,1.3424226808222062,4.0,0.19047619047619047,0.343,0.166,0.0,-0.035,0.01,0.04,-0.1549,-0.1184,0.013,0.2923,0.0,0.227,0.182,0.0,0.091,8,-4.0,0.7234556720351858,-2.525079608959396,-2.9604093769761874,0.9005330305324428
PC1P2,229,marine,1.3222192947339193,5.0476,0.2523809523809524,0.454,0.067,0.019,-0.104,-0.149,0.029,-0.3191,-0.436,0.1961,0.3756,0.0,0.333,0.19,0.0,0.085,8,-4.0,0.23552844690754882,-2.4694514537769074,-2.8860566476931635,1.1044407477068092
PC1P3,230,marine,1.3979400086720377,4.44,0.185,0.326,0.196,0.018,-0.078,-0.029,0.037,-0.1929,-0.383,0.1005,0.3772,0.0,0.36,0.24,0.0,0.081,8,-4.0,-0.06048074738138154,-2.960199619677901,-3.154901959985743,0.8756469822704602
PC1P4,231,marine,1.2304489213782739,4.4118,0.2757352941176471,0.591,0.067,0.053,-0.036,-0.054,0.005,-0.2329,-0.0428,0.1517,0.1885,0.0,0.235,0.176,0.0,0.093,8,-4.0,0.056904851336472634,-2.686756862079986,-3.0,1.0151978555437629
PC2P1,232,marine,1.2787536009528289,3.8421,0.2134502923976608,0.317,0.11,0.027,-0.026,-0.179,0.044,-0.2041,0.0873,0.0868,-0.0007,0.0,0.368,0.105,0.0,0.055,8,-4.0,0.008600171761917567,-2.840667484759158,-3.642065152999546,0.9534587005830449
PC2P2,233,marine,1.4913616938342726,5.3871,0.17956989247311828,0.206,0.124,0.0,-0.045,-0.047,0.025,-0.0216,0.1032,-0.0938,0.0276,0.0,0.323,0.097,0.0,0.054,8,-4.0,1.3186892699477457,-2.216160000432152,-3.0,0.9218819814085347
PC2P3,234,marine,1.255272505103306,3.0,0.17647058823529413,0.403,0.173,0.037,-0.025,-0.034,0.049,-0.1338,-0.251,-0.0627,0.4283,0.0,0.333,0.278,0.0,0.13,8,-4.0,0.4329692908744057,-2.482736813721722,-3.2614393726401687,1.2213658103172744
PC2P4,235,marine,1.2304489213782739,3.6471,0.22794117647058823,0.203,0.107,0.0,0.0,0.021,0.005,-0.0345,-0.1689,-0.2617,0.2214,0.0,0.294,0.176,0.0,0.097,7,-4.0,0.37474834601010387,-2.679622016482645,-3.3979400086720375,0.9298699796814985
PC2P5,236,marine,1.0791812460476249,2.1667,0.19696969696969696,0.481,0.266,0.0,-0.071,0.045,0.0,-0.189,-0.4265,0.0235,0.4071,0.0,0.333,0.25,0.0,0.269,8,-4.0,-0.02687214640030147,-2.5330526212498135,-3.0,1.3520070348695385
PGSBP1,237,marine,1.2304489213782739,2.3529,0.14705882352941177,0.235,0.242,0.05,-0.114,-0.199,0.045,-0.2859,-0.3366,0.0773,0.1344,0.0,0.235,0.294,0.0,0.1,8,-4.0,0.029383777685209667,-1.8641766777242303,-2.0,1.6558146536770209
PGSBP2,238,marine,1.462397997898956,3.069,0.10960591133004927,0.194,0.243,0.0,-0.05,-0.143,0.029,-0.2712,-0.1757,0.2772,0.0847,0.0,0.241,0.207,0.0,0.056,8,-4.0,1.9493900066449128,-1.7736345580780437,-2.0,0.6289251765023083
PGUBP1,239,marine,1.255272505103306,2.5556,0.1503267973856209,0.156,0.208,0.0,-0.047,-0.112,0.023,0.0506,0.4707,-0.198,0.0405,0.0,0.222,0.167,0.0,0.043,8,-4.0,0.5797835966168101,-2.4446163542868087,-2.0,0.8769059443988317
PGUBP2,240,marine,1.3010299956639813,2.4,0.12631578947368421,0.096,0.247,0.0,0.038,-0.06,0.014,-0.1104,0.3138,-0.1759,-0.3095,0.0,0.25,0.15,0.0,0.062,8,-4.0,0.4548448600085102,-2.164331108527001,-2.0,1.329951866840135
PGUBP3,241,marine,1.3222192947339193,3.0952,0.15476190476190477,0.116,0.187,0.0,0.009,0.006,-0.004,-0.0607,0.0468,-0.2449,0.023,0.0,0.286,0.19,0.0,0.046,8,-4.0,0.4329692908744057,-2.1677538765060413,-2.0,1.2687483379552487
PGUBP4,242,marine,1.255272505103306,2.8333,0.16666666666666666,0.064,0.151,0.0,-0.004,0.004,-0.019,-0.0099,0.3792,-0.4378,-0.0673,0.0,0.222,0.222,0.0,0.059,8,-4.0,0.08278537031645007,-2.412220567699075,-2.0,0.9775521515712561
PP1I1,243,marine,1.4313637641589874,4.1852,0.16096866096866097,0.149,0.224,0.053,0.0,-0.067,0.06,-0.1356,0.2762,-0.097,-0.2414,0.0,0.148,0.111,0.0,0.053,7,-4.0,1.9025087293196203,-2.273500202676919,-3.642065152999546,0.6387279976935643
PP1I2,244,marine,1.146128035678238,1.9286,0.14835164835164835,0.0,0.241,0.0,0.0,-0.012,0.0,-0.0945,0.5927,-0.4205,-0.3439,0.0,0.071,0.286,0.0,0.111,7,-4.0,-0.7680209731684957,-2.6647309239466423,-3.321032576499773,1.658682240818449
PP1I3,245,marine,1.041392685158225,2.0,0.2,0.288,0.207,0.0,0.0,-0.015,-0.028,-0.2944,-0.138,-0.0525,0.5109,0.0,0.182,0.182,0.0,0.091,7,-4.0,1.8950908969343994,-1.6880989745024457,-1.2104192878355744,0.9834323279799799
PP1I4,246,marine,1.255272505103306,3.2222,0.1895424836601307,0.008,0.096,0.0,0.0,-0.022,-0.017,-0.025,0.8029,-0.4867,-0.3088,0.0,0.167,0.167,0.0,0.034,7,-4.0,0.2626171815385741,-2.500904722566043,-3.642065152999546,1.241124647267303
PP2I1,247,marine,1.3222192947339193,3.8095,0.19047619047619047,0.273,0.123,0.0,0.0,-0.014,-0.017,-0.0556,0.0469,-0.0056,0.3123,0.0,0.143,0.238,0.0,0.075,7,-4.0,0.1279789889169092,-2.3126331095408172,-3.0,1.3812771411801876
PP2I2,248,marine,1.3222192947339193,3.1905,0.1595238095238095,0.061,0.136,0.0,0.0,-0.05,-0.017,-0.0586,0.5541,-0.2775,-0.029,0.0,0.095,0.19,0.0,0.03,7,-4.0,0.409662661244457,-2.413991340530282,-3.0,0.995893655335126
PP2I3,249,marine,1.3617278360175928,3.7391,0.16996047430830039,0.237,0.156,0.023,0.0,-0.015,0.027,0.0448,-0.0509,-0.196,0.059,0.0,0.174,0.217,0.0,0.081,7,-4.0,0.3526647996511006,-2.3883660803570597,-3.0,1.1237332090939862
PP2I4,250,marine,1.3010299956639813,3.0,0.15789473684210525,0.008,0.15,0.0,0.0,-0.027,0.01,-0.0348,0.8617,-0.5693,-0.6151,0.0,0.1,0.2,0.0,0.067,7,-4.0,0.33525725643453186,-2.4655955039419237,-3.5200025808357918,1.2670251268732946
PP2M1,251,marine,1.255272505103306,2.4444,0.1437908496732026,0.014,0.199,0.0,0.0,-0.08,-0.018,-0.0482,0.4823,-0.335,-0.2604,0.0,0.111,0.278,0.0,0.068,7,-4.0,0.4264949953490336,-2.5733887394981165,-3.642065152999546,0.9725836264050193
PP2M2,252,marine,1.2787536009528289,2.7895,0.15497076023391812,0.146,0.174,0.0,0.0,-0.047,-0.04,-0.092,0.1282,-0.3149,0.1712,0.0,0.158,0.263,0.0,0.094,7,-4.0,0.018617292519441636,-2.37583698793872,-3.0,1.3278200003458165
PP2M3,253,marine,1.2787536009528289,2.7368,0.15204678362573099,0.189,0.201,0.0,0.0,-0.025,-0.048,-0.047,0.2089,-0.257,0.0044,0.0,0.105,0.263,0.0,0.115,7,-4.0,0.21777337740149544,-2.1588241365250433,-2.309803919971486,1.5201132697105322
PP2M4,254,marine,1.255272505103306,2.5,0.14705882352941177,0.014,0.198,0.0,0.0,-0.193,0.04,-0.2602,0.364,0.1128,-0.3389,0.0,0.222,0.222,0.0,0.089,7,-4.0,0.4203023851786898,-2.354229525557673,-3.1989700043360187,1.1576260003360865
RMP1,255,marine,1.4471580313422192,4.2143,0.15608465608465608,0.214,0.168,0.017,-0.04,-0.061,0.059,-0.0342,-0.0663,-0.1513,0.2301,0.0,0.357,0.321,0.0,0.076,8,-4.0,0.8407332346118067,-2.708372619897442,-3.0713337517843655,0.7878767406108337
RMP2,256,marine,1.3010299956639813,3.0,0.15789473684210525,0.224,0.157,0.0,-0.01,-0.083,0.051,-0.0517,-0.0077,-0.1475,0.2167,0.0,0.3,0.35,0.0,0.117,8,-4.0,0.6589648426644349,-2.7345356664620097,-3.2614393726401687,0.7954794316760283
RMP3,257,marine,1.2304489213782739,2.0,0.125,0.356,0.205,0.0,-0.167,-0.022,0.103,-0.234,-0.5858,0.0799,0.5264,0.0,0.294,0.235,0.0,0.176,8,-4.0,0.38381536598043126,-2.29394542888616,-2.795880017344075,1.0553638422982536
RMP4,258,marine,1.2041199826559248,2.4375,0.1625,0.314,0.176,0.0,-0.175,-0.107,0.007,-0.3402,-0.6049,0.1594,0.6324,0.0,0.25,0.375,0.0,0.154,8,-4.0,-0.9393021596463883,-2.875616349199429,-3.0969100130080562,0.9959139286834292
RMP5,259,marine,1.3222192947339193,4.2857,0.21428571428571427,0.289,0.131,0.022,0.022,-0.003,0.061,-0.0343,-0.1545,-0.1472,0.2714,0.0,0.333,0.238,0.0,0.078,8,-4.0,0.004321373782642578,-2.8092127918104572,-3.3010299956639813,1.247237978735902
RV1P1,260,marine,1.7708520116421442,7.3729,0.1271186440677966,0.259,0.157,0.009,-0.087,-0.054,0.036,-0.0937,-0.4092,0.0391,0.3279,0.0,0.373,0.119,0.0,0.023,8,-4.0,1.643353961976863,-2.1278954697213264,-2.161150909262745,0.4308158661668583
RV1P2,261,marine,1.6989700043360187,6.9,0.14081632653061224,0.307,0.139,0.006,-0.073,-0.035,0.012,-0.0766,-0.3092,-0.0443,0.2555,0.0,0.36,0.1,0.0,0.035,8,-4.0,2.1398790864012365,-2.178674041568401,-2.5061668675368627,0.6140185306002064
RV1P3,262,marine,1.7403626894942439,5.6,0.1037037037037037,0.109,0.223,0.0,-0.044,-0.055,0.005,-0.1544,-0.0345,0.1089,0.3182,0.0,0.418,0.091,0.0,0.026,8,-4.0,2.0025979807199086,-2.484843634165155,-2.8239087409443187,0.5027370257316827
RV1P4,263,marine,1.6989700043360187,6.24,0.1273469387755102,0.349,0.161,0.013,-0.118,-0.04,0.058,-0.225,-0.4173,0.2026,0.2866,0.0,0.3,0.12,0.0,0.035,8,-4.0,1.8401060944567578,-2.2512801610189594,-2.668621084159213,0.45406257442684733
RV2P1,264,marine,1.7160033436347992,7.0,0.13725490196078433,0.32,0.148,0.011,-0.086,-0.108,0.027,-0.0751,-0.3792,0.0157,0.3138,0.0,0.288,0.096,0.0,0.036,8,-4.0,1.53567380342575,-2.124970745876514,-2.502621527706186,0.6312147023997428
RV2P2,265,marine,1.5797835966168101,4.2105,0.11379800853485064,0.305,0.205,0.0,-0.085,-0.135,0.062,-0.2168,-0.2965,0.1862,0.2874,0.0,0.211,0.132,0.0,0.069,8,-4.0,1.6020599913279625,-1.949927515184853,-2.0768314439350974,0.824125588325613
RV2P3,266,marine,1.6812412373755872,6.4583,0.1374113475177305,0.301,0.158,0.013,-0.088,-0.084,0.065,-0.1354,-0.3853,0.0684,0.364,0.0,0.396,0.104,0.0,0.032,8,-4.0,1.3334472744967505,-2.234836290295833,-2.6290304611354003,0.7320811715255037
RV2P4,267,marine,1.6127838567197355,4.878,0.12195121951219512,0.271,0.212,0.0,-0.064,-0.103,0.032,-0.168,-0.3401,0.2031,0.3538,0.0,0.366,0.146,0.0,0.05,8,-4.0,0.07554696139253074,-2.4492722067392756,-2.744727494896694,0.949175464482285
SF1I1,268,marine,1.1760912590556813,1.8,0.12857142857142856,0.058,0.233,0.0,0.0,-0.088,0.042,-0.1047,-0.481,0.3765,-0.2602,0.0,0.2,0.267,0.0,0.111,7,-4.0,0.21218760440395779,-2.9639332985399545,-3.642065152999546,1.1196513915323851
SF1I2,269,marine,1.3010299956639813,2.75,0.14473684210526316,0.097,0.212,0.0,0.0,-0.047,0.013,-0.0467,0.2459,-0.1092,0.0568,0.0,0.15,0.2,0.0,0.055,7,-4.0,0.39516907482742103,-2.6855259288988593,-3.642065152999546,0.8403352766589984
SF1I3,270,marine,1.4313637641589874,3.7407,0.14387464387464388,0.035,0.212,0.04,0.0,-0.028,0.042,0.22,0.4904,-0.3696,-0.3894,0.0,0.222,0.222,0.0,0.059,7,-4.0,0.4161077123235618,-2.7426370334242955,-3.5228787452803374,0.8877063413398824
SF1I4,271,marine,1.3222192947339193,3.4762,0.1738095238095238,0.204,0.172,0.0,0.0,-0.029,0.0,-0.0521,0.252,-0.0585,-0.1037,0.0,0.19,0.238,0.0,0.096,7,-4.0,0.42357351973273555,-2.651342851516535,-3.5228787452803374,0.8139189111069488
SF1M1,272,marine,1.0791812460476249,2.1667,0.19696969696969696,0.188,0.183,0.0,0.0,-0.062,0.0,-0.0851,0.2857,-0.2975,0.2415,0.0,0.167,0.167,0.0,0.077,7,-4.0,0.14469871864312495,-2.2112509502070785,-2.266566189822945,1.1836780173368873
SF1M2,273,marine,1.0,1.5,0.16666666666666666,0.188,0.398,0.0,0.0,-0.094,-0.029,-0.1336,0.0,0.0,-0.1131,0.0,0.3,0.2,0.0,0.067,7,-4.0,-0.005374946231395327,-2.432266383117196,-3.321032576499773,1.4288938251098293
SF1M3,274,marine,1.1760912590556813,1.8667,0.13333333333333333,0.032,0.268,0.0,0.0,-0.174,0.019,-0.1256,0.5437,-0.0462,-0.3654,0.0,0.133,0.267,0.0,0.071,7,-4.0,0.14606598917739624,-2.3871536275368377,-3.0,1.1443690323670537
